,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Maniitsoq,GL,65.4167,-52.9,29.64,61,88,29.51,overcast clouds
348,Paita,PE,-5.0892,-81.1144,70.18,67,97,13.85,overcast clouds
349,Sosnovka,RU,56.255,51.2842,39.56,83,100,2.59,overcast clouds
350,Gillette,US,44.2911,-105.5022,62.06,32,0,15.01,clear sky
351,Ahipara,NZ,-35.1667,173.1667,54.21,73,86,12.26,overcast clouds
352,Nanga Eboko,CM,4.6833,12.3667,71.08,96,98,2.21,moderate rain
353,Hovd,MN,48.0056,91.6419,34.03,71,45,4.25,scattered clouds
354,Maracaibo,VE,10.6317,-71.6406,87.21,63,40,0.94,light rain
355,Eyl,SO,7.9803,49.8164,79.29,79,59,16.75,broken clouds
356,Tautira,PF,-17.7333,-149.15,77.02,80,10,10.65,light rain
357,Razole,IN,16.4833,81.8333,76.12,89,82,4.14,broken clouds
358,Spring Hill,US,28.4769,-82.5255,61.83,42,79,5.99,broken clouds
359,Krasnoselkup,RU,65.7,82.4667,34.77,98,100,19.1,light snow
360,Bonavista,CA,48.6499,-53.1147,55.45,83,91,11.12,overcast clouds
361,Bom Jesus,BR,-9.0744,-44.3586,102.2,17,28,4.83,scattered clouds
362,Erenhot,CN,43.6475,111.9767,52.63,42,64,13.42,broken clouds
363,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,91.58,42,53,10.58,broken clouds
364,Rapid Valley,US,44.0625,-103.1463,70.38,28,0,23.02,clear sky
365,Benjamin Hill,MX,30.1667,-111.1,74.5,42,2,6.85,clear sky
366,Buchanan,LR,5.8808,-10.0467,77.88,84,100,6.04,light rain
367,Narsaq,GL,60.9167,-46.05,37.62,98,100,11.9,overcast clouds
368,Pisco,PE,-13.7,-76.2167,64.45,72,20,10.36,few clouds
369,Flinders,AU,-34.5833,150.8552,63.18,90,100,4.0,overcast clouds
370,Governador Valadares,BR,-18.8511,-41.9494,85.26,45,70,11.23,broken clouds
371,Biak,ID,-0.9131,122.8766,76.6,87,83,0.27,broken clouds
372,Bonfim,BR,3.0833,-59.95,90.34,52,86,8.25,light rain
373,Shakawe,BW,-18.3667,21.85,71.22,59,45,11.34,light rain
374,Yuzhou,CN,34.1628,113.4639,54.36,39,13,3.78,few clouds
375,Zeya,RU,53.75,127.2667,30.78,72,82,4.5,broken clouds
376,Rocha,UY,-34.4833,-54.3333,67.5,80,84,12.24,broken clouds
377,Greci,RO,45.1833,28.2333,61.25,67,13,7.85,few clouds
378,Khvoynaya,RU,58.9,34.5333,39.79,86,100,4.27,overcast clouds
379,Rorvik,NO,64.8621,11.2373,46.51,76,75,13.8,broken clouds
380,Ust-Omchug,RU,61.15,149.6333,2.08,90,100,7.0,overcast clouds
381,Akureyri,IS,65.6835,-18.0878,36.97,81,94,8.7,overcast clouds
382,Nouadhibou,MR,20.931,-17.0347,72.27,80,2,24.05,clear sky
383,Nago,JP,26.5881,127.9761,73.83,71,100,17.94,overcast clouds
384,Turan,VN,16.0678,108.2208,73.38,73,40,10.36,scattered clouds
385,Dalbandin,PK,28.8947,64.4101,74.95,19,28,11.54,scattered clouds
386,Phuntsholing,BT,26.8516,89.3884,66.87,53,0,7.72,clear sky
387,Matagami,CA,49.7502,-77.6328,39.31,93,100,11.5,overcast clouds
388,Chumikan,RU,54.7183,135.315,36.99,68,87,20.58,overcast clouds
389,Mayo,US,38.8876,-76.5119,56.95,48,75,8.05,broken clouds
390,Sawakin,SD,19.1059,37.3321,84.94,71,1,4.92,clear sky
391,Krasnokamensk,RU,50.0979,118.0369,37.53,53,77,5.35,broken clouds
392,Zhigansk,RU,66.7697,123.3711,15.66,95,98,7.31,overcast clouds
393,Tessalit,ML,20.1986,1.0114,92.8,14,69,8.84,broken clouds
394,Storforshei,NO,66.4043,14.5233,44.38,87,75,8.05,broken clouds
395,Ixtapa,MX,20.7,-105.2,86.23,70,100,3.44,overcast clouds
396,Luganville,VU,-15.5333,167.1667,78.84,85,72,9.35,broken clouds
397,Aksarka,RU,66.5606,67.7975,37.04,89,99,11.86,overcast clouds
398,Misratah,LY,32.3754,15.0925,73.22,53,6,8.66,clear sky
399,Saint Anthony,US,45.0205,-93.218,42.66,45,0,9.22,clear sky
400,Maceio,BR,-9.6658,-35.7353,83.64,61,75,16.11,broken clouds
401,Corvallis,US,44.5646,-123.262,60.42,90,75,3.44,mist
402,Colares,PT,38.7992,-9.4469,63.79,93,75,21.0,mist
403,Olafsvik,IS,64.8945,-23.7142,44.42,83,100,17.18,overcast clouds
404,Kawambwa,ZM,-9.7915,29.0791,76.64,25,44,1.23,scattered clouds
405,Ilulissat,GL,69.2167,-51.1,28.42,74,75,10.36,broken clouds
406,Marsa Matruh,EG,31.3525,27.2453,71.04,69,14,6.04,few clouds
407,Letlhakane,BW,-21.4167,25.5833,81.1,22,89,9.75,overcast clouds
408,Muskogee,US,35.5834,-95.3336,54.75,28,0,4.14,clear sky
409,Nishihara,JP,26.1842,127.7558,74.48,69,100,18.41,overcast clouds
410,Buenos Aires,AR,-34.6132,-58.3772,71.92,74,75,10.36,broken clouds
411,Nome,US,64.5011,-165.4064,35.67,81,100,11.5,overcast clouds
412,Balikpapan,ID,-1.2675,116.8289,76.19,100,20,2.3,few clouds
413,Namibe,AO,-15.1961,12.1522,69.19,70,28,16.24,scattered clouds
414,Deputatskiy,RU,69.3,139.9,-8.09,89,15,4.23,few clouds
415,Tual,ID,-5.6667,132.75,84.22,72,99,7.05,overcast clouds
416,Bardiyah,LY,31.7561,25.0865,71.55,63,52,7.85,broken clouds
417,Tura,IN,25.5198,90.2201,67.95,74,0,3.94,clear sky
418,Amapa,BR,1.0,-52.0,91.54,46,100,7.4,overcast clouds
419,Vao,NC,-22.6667,167.4833,70.52,70,84,14.88,broken clouds
420,Tigil,RU,57.8,158.6667,22.96,94,96,8.93,light snow
421,Chute-Aux-Outardes,CA,49.1168,-68.399,53.53,96,100,18.43,overcast clouds
422,Bandarbeyla,SO,9.4942,50.8122,78.28,86,10,14.79,clear sky
423,Linhares,BR,-19.3911,-40.0722,81.37,56,79,9.82,light rain
424,Hoopstad,ZA,-27.8327,25.9083,74.98,39,88,7.83,overcast clouds
425,Black River,JM,18.0264,-77.8487,86.67,63,39,7.78,scattered clouds
426,Khovu-Aksy,RU,51.1333,93.6,27.55,74,32,1.66,scattered clouds
427,Kaduqli,SD,11.0167,29.7167,80.47,58,22,5.99,light rain
428,Lakes Entrance,AU,-37.8811,147.981,46.17,84,0,4.25,clear sky
429,Nanzhou,CN,29.3596,112.4024,57.72,35,75,2.77,broken clouds
430,Buala,SB,-8.145,159.5921,79.56,79,73,2.13,broken clouds
431,Litovko,RU,49.2361,135.1742,39.2,58,100,9.91,overcast clouds
432,Nyurba,RU,63.2842,118.3319,16.03,95,59,5.73,broken clouds
433,The Pas,CA,53.8251,-101.2541,48.51,65,91,8.39,overcast clouds
434,Saint-Joseph,RE,-21.3667,55.6167,70.18,74,27,10.04,scattered clouds
435,Lata,PT,40.1629,-8.3327,64.81,85,100,10.07,overcast clouds
436,Chingirlau,KZ,51.095,54.0814,55.31,59,100,18.07,overcast clouds
437,Makakilo City,US,21.3469,-158.0858,73.62,77,0,4.61,clear sky
438,Tougan,BF,13.0667,-3.0667,95.59,19,16,2.68,few clouds
439,Mosjoen,NO,65.836,13.1908,44.71,87,75,1.14,broken clouds
440,Kon Tum,VN,14.35,108.0,68.74,94,80,1.19,broken clouds
441,Senno,RU,59.5336,33.9167,30.25,91,78,4.7,broken clouds
442,Imbituba,BR,-28.24,-48.6703,79.86,76,47,4.9,scattered clouds
443,Araouane,ML,18.9048,-3.5265,97.16,13,22,6.38,few clouds
444,Samarai,PG,-10.6167,150.6667,81.72,79,46,14.34,scattered clouds
445,Oranjemund,NA,-28.55,16.4333,61.45,91,22,11.23,few clouds
446,Carson City,US,39.1638,-119.7674,69.12,27,0,0.0,clear sky
447,Belaya Gora,RU,68.5333,146.4167,-1.73,100,80,2.33,broken clouds
448,Mangrol,IN,21.1167,70.1167,81.03,68,6,6.49,clear sky
449,Pasir Gudang,MY,1.4584,103.8805,82.42,86,75,4.61,broken clouds
450,Ust-Kuyga,RU,70.0167,135.6,-3.71,99,65,7.99,broken clouds
451,Jinji,CN,23.2281,110.8261,62.78,55,100,3.53,overcast clouds
452,Fare,PF,-16.7,-151.0167,77.54,77,7,7.43,clear sky
453,San-Pedro,CI,4.7485,-6.6363,79.7,78,94,8.08,overcast clouds
454,Creel,MX,27.75,-107.6333,57.92,58,22,7.63,few clouds
455,Kajaani,FI,64.2273,27.7285,37.45,93,100,8.05,overcast clouds
456,Cabra,ES,37.4725,-4.4421,78.8,38,99,7.52,overcast clouds
457,Muros,ES,42.7762,-9.0603,64.83,80,32,17.4,scattered clouds
458,Erice,IT,38.037,12.5865,63.07,72,14,8.57,few clouds
459,Mogadishu,SO,2.0371,45.3438,77.74,79,9,12.17,clear sky
460,Trelew,AR,-43.249,-65.3051,82.2,20,6,12.91,clear sky
461,Tirat Karmel,IL,32.7617,34.9719,76.55,69,20,4.61,few clouds
462,Severnoye,RU,56.3491,78.3619,41.63,74,100,11.79,overcast clouds
463,Camacha,PT,33.0833,-16.3333,72.82,60,20,12.66,few clouds
464,Grafton,US,42.207,-71.6856,56.19,49,0,13.8,clear sky
465,Vila Velha,BR,-20.3297,-40.2925,76.95,94,100,10.36,overcast clouds
466,Yanam,IN,16.7333,82.2167,78.49,84,96,4.63,overcast clouds
467,Muncar,ID,-8.4333,114.3333,75.85,89,100,2.42,overcast clouds
468,Husavik,IS,66.0449,-17.3389,36.52,77,96,9.31,overcast clouds
469,Sungaipenuh,ID,-2.0833,101.3833,64.8,91,100,1.63,overcast clouds
470,Atar,MR,20.5169,-13.0499,99.39,9,61,10.71,broken clouds
471,Constitucion,CL,-35.3333,-72.4167,60.28,66,4,9.62,clear sky
472,Aksu,CN,41.1231,80.2644,58.41,20,99,5.73,overcast clouds
473,Katobu,ID,-4.9408,122.5276,75.81,92,100,2.04,overcast clouds
474,Luba,GQ,3.4568,8.5547,79.74,82,92,7.49,overcast clouds
475,Raudeberg,NO,61.9875,5.1352,43.47,65,92,5.5,overcast clouds
476,Taseyevo,RU,57.2169,94.8978,35.96,94,98,3.6,overcast clouds
477,Gushikawa,JP,26.3544,127.8686,74.43,68,100,14.97,overcast clouds
478,Traverse City,US,44.7631,-85.6206,41.2,91,100,14.97,overcast clouds
479,Pitimbu,BR,-7.4706,-34.8086,84.79,64,14,16.51,few clouds
480,Kasaragod,IN,12.5,75.0,76.32,93,100,2.89,light rain
481,Babu,CN,24.4167,111.5167,63.64,32,100,2.19,overcast clouds
482,Batsfjord,NO,70.6345,29.7185,39.13,69,75,32.21,broken clouds
483,Carauari,BR,-4.8828,-66.8958,93.31,48,94,2.06,overcast clouds
484,Tarata,BO,-17.6167,-66.0167,77.07,26,0,5.5,clear sky
485,Itarema,BR,-2.9248,-39.9167,87.03,58,97,20.49,overcast clouds
486,Chippewa Falls,US,44.9369,-91.3929,42.98,59,0,8.05,clear sky
487,Villazon,BO,-22.0866,-65.5942,69.31,2,0,22.03,clear sky
488,Bereda,ES,43.2686,-7.5406,58.41,97,39,6.78,scattered clouds
489,Sabang,ID,5.8933,95.3214,81.1,79,100,23.0,heavy intensity rain
490,Raga,SS,8.4596,25.678,77.85,64,36,3.58,scattered clouds
491,Sinnamary,GF,5.3833,-52.95,85.42,66,78,11.81,broken clouds
492,Sorong,ID,-0.8833,131.25,79.32,84,89,3.0,overcast clouds
493,Safranbolu,TR,41.2508,32.6942,55.17,93,14,3.11,few clouds
494,Kailua,US,21.4022,-157.7394,75.07,79,41,8.95,scattered clouds
495,Kattivakkam,IN,13.2167,80.3167,86.09,81,95,8.1,overcast clouds
496,Bujak,HU,47.8835,19.5438,57.51,55,0,10.85,clear sky
497,Korla,CN,41.7597,86.1469,56.41,25,72,12.88,broken clouds
498,Anchorage,US,61.2181,-149.9003,41.05,91,100,8.05,overcast clouds
499,Saint Stephen,GB,50.3333,-4.9,64.67,88,75,16.11,broken clouds
500,Berlevag,NO,70.8578,29.0864,39.15,70,100,33.38,overcast clouds
501,Atlantic City,US,39.3643,-74.4229,55.58,42,75,13.8,broken clouds
502,Jacmel,HT,18.2342,-72.5347,84.85,68,34,7.09,scattered clouds
503,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,67,93,23.11,overcast clouds
504,San Nicolas,PH,18.1725,120.5953,76.15,92,100,10.54,light rain
505,Portland,US,45.5234,-122.6762,61.09,84,40,5.01,mist
506,Kamina,CD,-8.7386,24.9906,73.06,50,53,3.62,broken clouds
507,Nanning,CN,22.8167,108.3167,62.31,69,100,4.72,overcast clouds
508,Kaduna,NG,10.5222,7.4383,79.41,42,19,6.13,few clouds
509,La Romana,DO,18.4273,-68.9728,88.16,74,40,23.02,scattered clouds
510,Aykhal,RU,66.0,111.5,15.26,93,94,6.64,overcast clouds
511,Guayaramerin,BO,-10.8368,-65.3614,91.85,49,92,3.47,overcast clouds
512,Lazaro Cardenas,MX,17.9583,-102.2,79.29,85,99,1.34,overcast clouds
513,Hay River,CA,60.8156,-115.7999,51.12,59,86,12.44,overcast clouds
514,Guasdualito,VE,7.2424,-70.7324,86.74,62,91,4.43,overcast clouds
515,Puerto Leguizamo,CO,-0.1934,-74.7819,82.58,76,100,3.71,overcast clouds
516,Biltine,TD,14.5333,20.9167,91.22,19,10,5.99,clear sky
517,Skelleftea,SE,64.7507,20.9528,45.0,85,0,11.5,clear sky
518,Sindor,RU,62.8629,51.8905,34.45,82,100,8.48,overcast clouds
519,Gornyy,RU,55.1153,83.9059,36.72,79,83,8.5,broken clouds
520,Padang,ID,-0.9492,100.3543,77.68,83,85,3.04,overcast clouds
521,Byron Bay,AU,-28.65,153.6167,64.71,90,100,9.37,moderate rain
522,Ulan-Ude,RU,51.8261,107.6098,37.29,64,40,6.71,scattered clouds
523,Ust-Kulom,RU,61.6864,53.6902,34.66,95,68,8.88,light snow
524,Ingham,US,42.6,-84.3833,42.98,77,100,14.34,overcast clouds
525,Port-Cartier,CA,50.0334,-66.8654,48.74,97,100,24.14,moderate rain
526,Obihiro,JP,42.9172,143.2044,40.06,81,6,5.86,clear sky
527,Roald,NO,62.5833,6.1333,44.74,76,75,5.75,broken clouds
528,Masty,BY,53.4122,24.5387,42.37,69,32,10.89,scattered clouds
529,Neropolis,BR,-16.4064,-49.2186,95.88,20,38,8.9,scattered clouds
530,Valparaiso,CL,-33.0393,-71.6273,64.04,90,0,12.66,clear sky
531,Agadez,NE,19.75,10.25,78.55,20,0,8.68,clear sky
532,Grand Gaube,MU,-20.0064,57.6608,70.38,73,44,1.99,scattered clouds
533,Dabakala,CI,8.3667,-4.4333,84.34,69,86,1.74,overcast clouds
534,Lujan,AR,-34.5703,-59.105,75.13,64,55,1.99,broken clouds
535,Merke,KZ,42.8728,73.1786,43.45,72,91,4.41,overcast clouds
536,Griffith,US,41.5284,-87.4237,47.05,54,0,17.27,clear sky
537,Port Augusta,AU,-32.5,137.7667,61.12,73,100,10.71,overcast clouds
538,Terekli-Mekteb,RU,44.1671,45.8698,60.82,79,95,4.41,overcast clouds
539,Kerewan,GM,13.4898,-16.0888,90.21,57,65,4.63,broken clouds
540,Knysna,ZA,-34.0363,23.0471,74.01,68,21,1.7,few clouds
541,Seoul,KR,37.5683,126.9778,51.24,40,0,2.24,clear sky
542,Manakara,MG,-22.1333,48.0167,69.98,87,8,6.49,clear sky
543,Nizhnyaya Omka,RU,55.4338,74.9426,42.82,68,100,12.62,overcast clouds
544,Bac Lieu,VN,9.285,105.7244,77.9,89,85,7.76,overcast clouds
545,Tucurui,BR,-3.7661,-49.6725,99.66,30,60,5.06,broken clouds
546,Nemuro,JP,43.3236,145.575,48.67,65,77,10.36,broken clouds
547,Ust-Tsilma,RU,65.441,52.1498,33.44,85,100,7.92,overcast clouds
548,Pontianak,ID,-0.0333,109.3333,75.18,100,75,3.44,broken clouds
549,Praxedis Guerrero,MX,31.3667,-106.0167,58.46,54,8,5.91,clear sky
550,Aneho,TG,6.2333,1.6,80.96,78,22,12.55,few clouds
551,Oranjestad,AW,12.524,-70.027,88.92,71,40,18.41,scattered clouds
552,Pampas,PE,-12.4,-74.9,64.33,46,69,7.85,broken clouds
553,Tiarei,PF,-17.5333,-149.3333,78.82,78,2,8.81,light rain
554,Okha,RU,53.5739,142.9478,37.18,80,45,12.41,scattered clouds
555,Aswan,EG,24.0934,32.907,86.13,24,43,15.59,scattered clouds
556,Tairua,NZ,-37.0167,175.85,52.59,81,94,8.39,overcast clouds
557,Metro,ID,-5.1131,105.3067,75.13,91,99,6.24,overcast clouds
558,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.44,62,24,12.12,few clouds
559,Necochea,AR,-38.5473,-58.7368,72.73,47,17,11.16,few clouds
560,Tobermory,CA,45.2501,-81.6665,38.73,85,100,15.14,overcast clouds
561,Yining,CN,29.0361,114.5636,51.15,49,58,1.36,broken clouds
562,Santa Barbara,US,34.7333,-120.0343,84.83,41,0,0.0,clear sky
563,Jinchang,CN,38.4953,102.1739,54.48,31,100,4.0,overcast clouds
564,Sangar,RU,63.9242,127.4739,17.08,96,100,2.17,overcast clouds
565,Kofele,ET,7.0667,38.7833,53.83,82,95,5.55,overcast clouds
566,Wanning,CN,18.8003,110.3967,75.76,93,100,6.24,overcast clouds
567,Okhotsk,RU,59.3833,143.3,21.83,58,0,17.74,clear sky
568,Aosta,IT,45.7667,7.4167,55.92,61,51,5.75,broken clouds
569,Bireun,ID,5.203,96.7009,79.27,82,100,4.99,overcast clouds
570,Sanmenxia,CN,34.7747,111.1814,54.7,41,5,8.48,clear sky
571,Nizhnyaya Tavda,RU,57.6731,66.1725,40.93,89,100,6.31,overcast clouds
572,Havoysund,NO,70.9963,24.6622,39.43,62,100,31.27,overcast clouds
573,Luderitz,NA,-26.6481,15.1594,62.89,83,47,16.71,scattered clouds
574,Goderich,CA,43.7501,-81.7165,45.91,91,99,24.47,overcast clouds
575,Pemangkat,ID,1.1667,108.9667,78.71,83,100,1.97,overcast clouds
576,Parintins,BR,-2.6283,-56.7358,96.73,38,82,6.82,broken clouds
577,Sturgis,US,41.7992,-85.4192,45.07,78,100,12.66,overcast clouds
578,Tsovak,AM,40.1825,45.6329,53.22,57,3,6.2,clear sky
579,Itupiranga,BR,-5.1347,-49.3267,95.32,37,43,2.3,scattered clouds
580,Barcelos,PT,41.5388,-8.6151,65.84,85,78,12.57,broken clouds
581,Benguela,AO,-12.5763,13.4055,75.13,75,48,9.24,scattered clouds
582,Freeport,US,40.6576,-73.5832,55.06,48,0,20.71,clear sky
583,Peddapuram,IN,17.0833,82.1333,80.69,86,100,5.32,overcast clouds
584,Iralaya,HN,15.0,-83.2333,84.85,68,99,6.87,overcast clouds
585,Namatanai,PG,-3.6667,152.4333,79.0,79,99,6.93,overcast clouds
586,Saint-Augustin,CA,51.226,-58.6502,56.77,69,71,13.51,broken clouds
587,Sinop,TR,41.7711,34.8709,56.05,95,87,2.28,overcast clouds
588,Archidona,ES,37.0965,-4.3887,68.92,40,98,6.69,overcast clouds
589,Craig,US,40.5153,-107.5464,56.82,37,0,0.0,clear sky
590,Isangel,VU,-19.55,169.2667,72.66,85,94,10.58,overcast clouds
591,Nadym,RU,65.5333,72.5167,36.18,91,100,16.04,overcast clouds
592,Pitsunda,GE,43.1592,40.3378,62.78,72,99,5.39,overcast clouds
593,Funadhoo,MV,6.15,73.2667,81.3,79,96,16.55,overcast clouds
594,Saint Paul,US,44.9444,-93.0933,43.39,43,0,8.05,clear sky
595,Sal Rei,CV,16.1833,-22.9167,84.4,70,40,17.27,scattered clouds
596,Ekhabi,RU,53.5102,142.9671,36.45,82,56,12.21,broken clouds
597,Pennagaram,IN,12.1333,77.9,71.31,91,89,1.77,overcast clouds
598,Pangkalanbuun,ID,-2.6833,111.6167,75.0,98,100,1.7,light rain
599,Potenza,IT,40.6443,15.8086,58.35,68,0,4.05,clear sky
600,Plettenberg Bay,ZA,-34.0527,23.3716,72.5,72,48,0.89,scattered clouds
601,Taurianova,IT,38.3563,16.0109,70.38,87,38,4.97,scattered clouds
602,Isla Vista,US,34.4133,-119.861,91.83,36,0,3.44,clear sky
603,Terebesti,RO,47.6833,22.7167,57.22,58,75,9.22,broken clouds
604,Salalah,OM,17.0151,54.0924,80.69,54,0,3.44,clear sky
605,Bako,ET,5.7833,36.5667,65.66,82,97,4.43,light rain
606,Pimentel,PE,-6.8367,-79.9342,70.09,60,20,19.57,few clouds
607,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,31.78,59,30,26.49,scattered clouds
608,Moerai,PF,-22.4333,-151.3333,72.64,78,33,23.64,light rain
609,Am Timan,TD,11.0297,20.2827,84.51,45,76,4.59,broken clouds
610,Ouesso,CG,1.6136,16.0517,74.17,93,79,2.51,moderate rain
611,Santa Rosa,PH,14.3122,121.1114,78.78,94,100,5.01,moderate rain
612,Zverinogolovskoye,RU,54.4586,64.8542,40.59,91,100,6.2,overcast clouds
613,Teguise,ES,29.0605,-13.564,75.42,65,20,17.27,few clouds
614,Port Lincoln,AU,-34.7333,135.8667,56.97,88,42,9.55,scattered clouds
615,Alberton,CA,46.8168,-64.0654,60.42,92,100,23.51,overcast clouds
616,Hernani,ES,43.2662,-1.9762,81.01,50,20,7.0,few clouds
617,Gorin,RU,51.1983,136.6669,32.72,75,57,4.74,broken clouds
618,Oktyabrskiy,RU,54.4815,53.471,42.94,88,100,3.85,overcast clouds
619,San Francisco De Becerra,HN,14.6333,-86.1,83.01,68,99,2.39,overcast clouds
620,Homer,US,59.6425,-151.5483,44.49,83,100,8.05,overcast clouds
621,Puerto Maldonado,PE,-12.6,-69.1833,90.0,70,40,2.3,scattered clouds
622,College,US,64.8569,-147.8028,29.59,93,75,4.61,mist
623,Poum,NC,-20.2333,164.0167,75.36,75,71,10.65,broken clouds
624,Nantucket,US,41.2835,-70.0995,57.34,67,52,22.66,broken clouds
625,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,79,40,4.61,scattered clouds
626,Gryazovets,RU,58.88,40.2525,35.92,84,76,4.56,broken clouds
627,Bermejo,AR,-32.8833,-68.8,69.71,43,40,2.3,scattered clouds
628,Camacupa,AO,-12.0167,17.4833,67.35,64,96,3.96,overcast clouds
629,Novocherkassk,RU,47.4181,40.0939,61.05,76,0,2.24,clear sky
630,Tres Picos,MX,15.8667,-93.5333,86.4,65,88,6.04,overcast clouds
631,Mbuji-Mayi,CD,-6.15,23.6,76.23,72,85,2.37,moderate rain
632,Kadipur,IN,26.1667,82.3833,73.99,61,0,2.62,clear sky
633,Ondjiva,AO,-17.0667,15.7333,84.2,28,87,2.39,overcast clouds
634,Huangchuan,CN,32.1272,115.0394,55.99,46,5,8.77,clear sky
635,Puerto Quijarro,BO,-17.7833,-57.7667,98.1,33,87,6.44,overcast clouds
636,Mareeba,AU,-17.0,145.4333,73.44,94,46,1.99,scattered clouds
637,Mlonggo,ID,-6.5333,110.7,78.85,83,100,5.37,overcast clouds
638,Zile,TR,40.3031,35.8864,56.79,63,59,0.4,broken clouds
639,Mitsamiouli,KM,-11.3847,43.2844,76.14,76,9,7.76,clear sky
640,Umm Kaddadah,SD,13.6017,26.6876,91.26,18,4,9.26,clear sky
641,Ibra,OM,22.6906,58.5334,77.85,25,53,2.01,broken clouds
642,Pervomayskiy,RU,53.2485,40.2871,46.72,90,100,5.06,overcast clouds
643,Chulym,RU,55.0997,80.9572,41.14,77,100,10.8,overcast clouds
644,Turukhansk,RU,65.8167,87.9833,32.18,95,100,16.62,overcast clouds
645,Gornopravdinsk,RU,60.05,69.9,39.87,94,100,7.61,light rain
646,Uusikaupunki,FI,60.8004,21.4084,46.69,73,98,14.9,overcast clouds
647,Jalingo,NG,8.8833,11.3667,83.32,64,67,2.95,broken clouds
648,Mabaruma,GY,8.2,-59.7833,89.33,56,91,7.43,overcast clouds
649,Gat,IL,31.61,34.7642,74.08,100,43,5.55,scattered clouds
650,Santa Rosa De Viterbo,BR,-21.4728,-47.3631,77.83,51,100,1.79,overcast clouds
651,Taunggyi,MM,20.7833,97.0333,57.74,83,0,1.68,clear sky
652,Itoman,JP,26.1247,127.6694,75.22,69,100,18.41,overcast clouds
653,Serafimovich,RU,49.5786,42.736,53.62,44,100,8.14,overcast clouds
654,Huarmey,PE,-10.0681,-78.1522,68.43,68,97,13.27,overcast clouds
655,Yar-Sale,RU,66.8333,70.8333,37.54,89,100,16.6,overcast clouds
656,Jonava,LT,55.0833,24.2833,41.05,82,0,4.61,clear sky
657,Abu Dhabi,AE,24.4667,54.3667,87.91,66,0,5.75,clear sky
658,Salym,RU,60.0625,71.4789,40.41,89,100,7.99,light rain
659,Parrita,CR,9.5201,-84.3225,84.24,69,98,4.81,overcast clouds
660,Ngama,TD,11.7833,17.1667,91.62,28,19,1.21,few clouds
661,Chupaca,PE,-12.0667,-75.2833,66.11,39,57,5.3,broken clouds
662,Cabedelo,BR,-6.9811,-34.8339,84.87,65,29,18.01,scattered clouds
663,Punta Gorda,US,26.9298,-82.0454,61.05,58,0,9.22,clear sky
664,Sorland,NO,67.667,12.6934,47.46,78,100,11.92,overcast clouds
665,Preobrazheniye,RU,42.9019,133.9064,43.52,65,2,8.95,clear sky
666,Baykit,RU,61.67,96.37,33.44,84,100,3.09,overcast clouds
667,Muli,MV,2.9167,73.5667,81.59,76,100,12.77,overcast clouds
668,Kloulklubed,PW,7.0419,134.2556,77.5,76,94,14.29,overcast clouds
669,Muzhi,RU,65.3667,64.6667,37.26,86,99,8.57,overcast clouds
670,Bhadrak,IN,21.0633,86.5054,75.15,86,2,4.18,clear sky
671,Klaksvik,FO,62.2266,-6.589,43.72,71,10,7.87,clear sky
672,Bairiki,KI,1.3292,172.9752,80.6,83,20,11.5,light rain
673,Mecca,SA,21.4267,39.8261,83.82,49,0,1.63,clear sky
674,Tumpat,MY,6.1978,102.171,76.05,94,100,6.73,light rain
675,Gondanglegi,ID,-7.7479,112.0132,75.92,92,97,5.17,overcast clouds
676,Marystown,CA,47.1666,-55.1483,59.68,81,54,14.2,broken clouds
677,Albion,US,42.2431,-84.753,44.56,70,100,9.22,overcast clouds
