,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kruisfontein,ZA,-34.0033,24.7314,76.8,60,51,6.93,broken clouds
80,Faanui,PF,-16.4833,-151.75,77.32,77,10,6.15,clear sky
81,Dikson,RU,73.5069,80.5464,32.2,99,100,8.81,light snow
82,Hermanus,ZA,-34.4187,19.2345,64.8,85,59,15.88,broken clouds
83,Ormara,PK,25.2088,64.6357,80.62,68,19,7.07,few clouds
84,Hasaki,JP,35.7333,140.8333,54.28,58,30,16.82,scattered clouds
85,Adrar,MR,20.5022,-10.0711,96.48,10,2,6.6,clear sky
86,Carutapera,BR,-1.195,-46.02,88.81,56,98,12.41,overcast clouds
87,Progreso,MX,21.2833,-89.6667,74.89,84,100,17.38,light rain
88,Kodinsk,RU,58.6881,99.1844,30.88,99,99,2.44,overcast clouds
89,Khatanga,RU,71.9667,102.5,16.07,95,100,5.32,light snow
90,Busselton,AU,-33.65,115.3333,56.1,89,20,5.01,few clouds
91,Quatre Cocos,MU,-20.2078,57.7625,71.71,75,64,15.55,broken clouds
92,Farroupilha,BR,-29.225,-51.3478,74.08,79,40,9.22,scattered clouds
93,Corinto,GR,37.9407,22.9573,64.89,44,0,2.33,clear sky
94,Damavand,IR,35.7178,52.065,51.71,69,2,1.5,clear sky
95,Yellowknife,CA,62.456,-114.3525,41.52,87,100,12.66,overcast clouds
96,Fukuma,JP,33.7667,130.4667,55.4,59,0,6.64,clear sky
97,Kone,NC,-21.0595,164.8658,69.51,85,61,3.98,broken clouds
98,Lagoa,PT,39.05,-27.9833,65.16,75,100,33.71,light rain
99,Naantali,FI,60.4674,22.0243,45.86,87,75,4.61,broken clouds
100,Bredasdorp,ZA,-34.5322,20.0403,66.94,67,6,10.42,clear sky
101,Port Blair,IN,11.6667,92.75,80.28,79,100,10.71,overcast clouds
102,Whithorn,JM,18.2604,-78.0378,83.46,65,34,2.68,scattered clouds
103,Mosquera,CO,4.7059,-74.2302,66.29,52,75,5.75,broken clouds
104,Kalmunai,LK,7.4167,81.8167,79.88,82,84,3.2,moderate rain
105,Mount Gambier,AU,-37.8333,140.7667,53.51,94,100,11.5,overcast clouds
106,East London,ZA,-33.0153,27.9116,76.14,78,0,8.05,clear sky
107,Tasiilaq,GL,65.6145,-37.6368,29.16,85,43,2.53,scattered clouds
108,Pilar,BR,-9.5972,-35.9567,82.33,63,34,11.88,scattered clouds
109,Pokhara,NP,28.2333,83.9833,60.24,66,1,6.42,clear sky
110,Kavieng,PG,-2.5744,150.7967,81.66,78,83,11.39,light rain
111,Saint George,US,37.1041,-113.5841,69.44,28,0,1.01,clear sky
112,Lucea,JM,18.451,-78.1736,85.86,69,28,5.21,scattered clouds
113,Batemans Bay,AU,-35.7167,150.1833,56.71,92,98,2.77,overcast clouds
114,Clyde River,CA,70.4692,-68.5914,14.23,62,75,6.91,broken clouds
115,Moose Factory,CA,51.2585,-80.6094,42.8,100,100,6.91,mist
116,Bologoye,RU,57.8799,34.1068,40.51,92,100,7.29,overcast clouds
117,Chuy,UY,-33.6971,-53.4616,68.18,74,62,12.3,broken clouds
118,Shelburne,CA,44.0787,-80.2041,45.75,81,68,10.18,broken clouds
119,Curup,ID,-3.4667,102.5333,67.64,97,100,1.45,light rain
120,Flin Flon,CA,54.7682,-101.865,46.24,76,75,8.05,broken clouds
121,Airai,TL,-8.9266,125.4092,64.0,88,100,0.34,overcast clouds
122,Kaitangata,NZ,-46.2817,169.8464,39.36,86,87,5.68,overcast clouds
123,Kahului,US,20.8947,-156.47,75.85,85,84,1.99,broken clouds
124,Esperance,AU,-33.8667,121.9,64.27,53,1,18.92,clear sky
125,Siniscola,IT,40.5719,9.6922,71.15,79,0,1.14,clear sky
126,Bengkulu,ID,-3.8004,102.2655,75.78,92,100,3.24,light rain
127,Kiruna,SE,67.8557,20.2251,40.12,70,20,9.22,few clouds
128,Touros,BR,-5.1989,-35.4608,83.77,62,13,19.26,few clouds
129,Bowen,AU,-20.0167,148.2333,75.79,85,99,10.58,light rain
130,Srivardhan,IN,18.0333,73.0167,79.0,86,51,2.62,broken clouds
