,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
192,Berbera,SO,84.65,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
196,Sur,OM,81.75,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
199,Muisne,EC,77.05,overcast clouds,0.6,-80.0333,Quinta Samay
200,Kavali,IN,81.91,scattered clouds,14.9167,79.9833,Hotel Mourya Paradise
205,Granada,ES,78.75,overcast clouds,37.25,-3.25,CORTIJO EL AVELLANO
209,Sehithwa,BW,80.71,overcast clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
211,Guerrero Negro,MX,77.97,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
213,Mao,ES,72.16,few clouds,39.8885,4.2658,ARTIEM Capri
216,Bokaa,BW,84.69,scattered clouds,-24.45,26.0167,Pa Vula Hotels
217,Hambantota,LK,79.99,overcast clouds,6.1241,81.1185,Bungalow 63
222,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
224,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
226,Belmonte,BR,80.06,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
229,Caravelas,BR,81.37,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
231,Rio Grande,BR,73.51,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
232,Bambous Virieux,MU,71.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
234,Pacific Grove,US,84.42,broken clouds,36.6177,-121.9166,Lovers Point Inn
236,Porto Novo,BJ,85.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
238,Acapulco,MX,80.44,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
239,Praya,CV,88.34,few clouds,14.9215,-23.5087,LT Aparthotel
240,Voi,KE,73.26,broken clouds,-3.3945,38.563,Voi Wildlife Lodge
241,Mattru,SL,79.59,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
242,Popondetta,PG,72.61,overcast clouds,-8.7537,148.2534,Timos Transit House
246,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
249,Lorengau,PG,80.73,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
252,Alcaniz,ES,77.14,overcast clouds,41.05,-0.1333,Hotel Ciudad de Alcañiz
256,Bonthe,SL,80.19,moderate rain,7.5264,-12.505,Bonthe Holiday Village
259,Mitu,CO,85.15,broken clouds,1.1983,-70.1733,
261,Saquarema,BR,78.94,light rain,-22.92,-42.5103,Hotel Fazenda Sol e Lua
263,Innisfail,AU,76.14,overcast clouds,-17.5333,146.0333,Moondarra Motel
267,Tsiroanomandidy,MG,74.55,light rain,-18.7667,46.0333,Hotel Ravinala
268,Maningrida,AU,80.85,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
270,Paciran,ID,80.38,light rain,-6.8767,112.3761,Tanjung Kodok Beach Resort
273,Dingle,PH,76.39,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
274,Champerico,GT,83.59,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
281,Marsabit,KE,73.65,broken clouds,2.3284,37.9899,Chicho Hotel
288,Buraydah,SA,81.16,clear sky,26.326,43.975,Mövenpick Qassim
289,Loandjili,CG,78.1,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
295,Mahibadhoo,MV,81.95,overcast clouds,3.7833,72.9667,Omadhoo Inn
297,Menongue,AO,77.94,broken clouds,-14.6585,17.691,Ritz Lauca
302,Arlit,NE,88.99,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
304,Najran,SA,73.09,few clouds,17.4924,44.1277,محمد هادي ال فطيح
306,Ocos,GT,83.48,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
312,Ambovombe,MG,70.11,few clouds,-25.1667,46.0833,RELAHARA
314,Souillac,MU,71.06,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
315,Punta Cardon,VE,87.1,clear sky,11.6581,-70.215,Bambuda hotel
318,Prachuap Khiri Khan,TH,72.95,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
320,Tacuarembo,UY,76.96,broken clouds,-31.7333,-55.9833,Complejo San Fructuoso
321,Meulaboh,ID,75.99,overcast clouds,4.1363,96.1285,Kost Pria
323,Marabba,SD,89.46,light rain,12.35,32.1833,
324,Hobyo,SO,78.87,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
325,Sao Filipe,CV,80.42,broken clouds,14.8961,-24.4956,Hotel Xaguate
329,Gwadar,PK,81.79,broken clouds,25.1216,62.3254,Sadaf Resort
330,Kawalu,ID,72.72,overcast clouds,-7.3817,108.2082,West Jontor
332,Bathsheba,BB,83.88,light rain,13.2167,-59.5167,Atlantis Hotel
333,Rosarito,MX,87.08,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
335,Cururupu,BR,89.58,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
342,Sao Joao Da Barra,BR,76.53,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
346,Santa Maria,BR,77.97,broken clouds,-29.6842,-53.8069,Hotel Morotin
348,Paita,PE,70.18,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
352,Nanga Eboko,CM,71.08,moderate rain,4.6833,12.3667,Motel Papi Palace
354,Maracaibo,VE,87.21,light rain,10.6317,-71.6406,Motel Aladdin
355,Eyl,SO,79.29,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
356,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
357,Razole,IN,76.12,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
364,Rapid Valley,US,70.38,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
365,Benjamin Hill,MX,74.5,clear sky,30.1667,-111.1,Hotel Benjamín Hill
366,Buchanan,LR,77.88,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
370,Governador Valadares,BR,85.26,broken clouds,-18.8511,-41.9494,Hotel Panorama
371,Biak,ID,76.6,broken clouds,-0.9131,122.8766,Penginapan Kim
373,Shakawe,BW,71.22,light rain,-18.3667,21.85,EdenWood Lodge
382,Nouadhibou,MR,72.27,clear sky,20.931,-17.0347,El Medina
383,Nago,JP,73.83,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
384,Turan,VN,73.38,scattered clouds,16.0678,108.2208,Grand Mercure Danang
385,Dalbandin,PK,74.95,scattered clouds,28.8947,64.4101,Sanjrani House
390,Sawakin,SD,84.94,clear sky,19.1059,37.3321,فندق الدويم
395,Ixtapa,MX,86.23,overcast clouds,20.7,-105.2,hotel la terminal
396,Luganville,VU,78.84,broken clouds,-15.5333,167.1667,The Espiritu Hotel
398,Misratah,LY,73.22,clear sky,32.3754,15.0925,Almasa Hotel
400,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
404,Kawambwa,ZM,76.64,scattered clouds,-9.7915,29.0791,Chembe Nsofu
406,Marsa Matruh,EG,71.04,few clouds,31.3525,27.2453,Beau Site
407,Letlhakane,BW,81.1,overcast clouds,-21.4167,25.5833,Motswedi Hotel
409,Nishihara,JP,74.48,overcast clouds,26.1842,127.7558,Minshuku Agaihama
410,Buenos Aires,AR,71.92,broken clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
412,Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
415,Tual,ID,84.22,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
416,Bardiyah,LY,71.55,broken clouds,31.7561,25.0865,بورتو بردية
